"species","Invasion_Potential","Algae","MaxN","Depth range","Corals","Rocks","Seagrass","Artificial","Silt"
"Bodianus anthioides",-0.202510612892257,0,0.252032520325203,97.9,1,0.03,0,0.03,0
"Variola louti",-0.220618625309576,0,0.398373983739837,119.9,0.9,0.06,0.06,0.04,0.12
"Lethrinus mahsena",-0.232859057289238,0,0.170731707317073,97.9,0.95,0.05,0.14,0.1,0.14
"Pseudanthias taeniatus",-0.341537008152235,0,0.0569105691056911,33.2,0.86,0,0.14,0.14,0
"Cephalopholis argus",-0.357528464571998,0,0.130081300813008,49.4,0.88,0.12,0,0,0
"Chaetodon paucifasciatus",-0.376481044813541,0,0.292682926829268,101.9,0.94,0.11,0,0.06,0
"Anampses lineatus",-0.425168068348868,0,0.032520325203252,5.5,0.25,0.75,0,0,0
"Odonus niger",-0.436469618935638,0,0.731707317073171,26,0.98,0,0.21,0,0
"Pomacentrus trichrourus",-0.439186427113626,0,1.10569105691057,43.3,1,0,0.05,0,0.08
"Cephalopholis miniata",-0.45039453615785,0,0.0650406504065041,59.5,1,0,0.12,0.12,0
"Pseudanthias squamipinnis",-0.455877281320566,0,0.178861788617886,10.9,1,0,0,0,0
"Genicanthus caudovittatus",-0.476515084986447,0,0.373983739837398,93.1,1,0,0,0,0
"Thamnaconus erythraeensis",-0.506027408282146,0,0.292682926829268,61,0.53,0.31,0,0.06,0.31
"Argyrops spinifer",-0.569739708122606,0,0.0569105691056911,78,0.43,0.71,0,0,0.57
"Scarus niger",-0.584618795013166,0,0.0650406504065041,42.1,1,0,0,0,0
"Pseudobalistes fuscus",-0.595248032329883,0,0.040650406504065,49.6,0.8,0.2,0,0,0.2
"Ctenochaetus striatus",-0.599796143956683,0,0.170731707317073,44.7,1,0.1,0,0.1,0
"Argyrops megalommatus",-0.615141798047235,0,0.544715447154472,64.8,0.43,0.39,0,0.03,0.69
"Chlorurus genazonatus",-0.620881085991341,0,0.032520325203252,25.8,1,0,0,0,0
"Chaetodon auriga",-0.635474345883564,0,0.138211382113821,40.3,1,0.12,0.35,0.24,0.06
"Siganus stellatus",-0.644571217871709,0,0.0487804878048781,16,1,0,0.33,0.33,0
"Cetoscarus bicolor",-0.661579066759654,0,0.032520325203252,42.8,1,0,0,0,0
"Chaetodon fasciatus",-0.672225226209366,0,0.105691056910569,35,1,0,0.15,0,0
"Chlorurus sordidus",-0.679046561879554,0,0.138211382113821,44.7,1,0.12,0,0.12,0
"Aluterus scriptus",-0.682165159589256,0,0.024390243902439,68.5,1,0.33,0,0.33,0
"Bodianus opercularis",-0.689372070430104,0,0.032520325203252,41.1,1,0,0,0,0
"Pseudochromis fridmani",-0.691209484329774,0,0.024390243902439,6,1,0,0,0,0
"Hipposcarus harid",-0.709401461759414,0,0.0569105691056911,38.1,1,0,0.29,0.14,0
"Gymnothorax undulatus",-0.730871938383809,0,0.024390243902439,11.4,1,0,0,0,0
"Oxycheilinus digramma",-0.736308820065762,0,0.032520325203252,23.7,1,0,0,0,0
"Plectropomus pessuliferus",-0.756309704632067,0,0.032520325203252,103.7,1,0,0,0,0.25
"Dascyllus marginatus",-0.76379455199788,0,0.235772357723577,24.1,1,0,0.17,0.1,0
"Parupeneus cyclostomus",-0.774579397807687,0,0.146341463414634,61.9,1,0.17,0.06,0.17,0
"Calotomus viridescens",-0.789238276721954,0,0.024390243902439,6.4,0.67,0,0,0.33,0
"Pseudochromis springeri",-0.792082207395398,0,0.040650406504065,30.4,1,0,0,0,0
"Cheilinus lunulatus",-0.802679746397411,0,0.040650406504065,22.5,1,0,0,0,0
"Pygoplites diacanthus",-0.816161426295841,0,0.032520325203252,9.1,1,0,0,0,0
"Siganus argenteus",-0.827980573834991,0,0.455284552845528,46.5,0.96,0.34,0.18,0.39,0.07
"Chaetodon lineolatus",-0.840303496704827,0,0.016260162601626,3.7,1,0,0,0,0
"Sargocentron caudimaculatum",-0.840303496704827,0,0.016260162601626,3.7,1,0,0,0,0
"Chaetodon melannotus",-0.84641071698198,0,0.040650406504065,22.3,1,0,0,0,0
"Cirrhilabrus blatteus",-0.857167211678854,0,0.284552845528455,46,1,0,0,0,0
"Chromis pelloura",-0.866857082697269,0,0.24390243902439,83.1,1,0.03,0,0,0
"Sufflamen albicaudatum",-0.870654150626005,0,0.227642276422764,52,0.93,0.14,0.11,0.11,0.04
"Platax orbicularis",-0.880094922708944,0,0.016260162601626,14.6,1,0,0,0,0
"Chromis dimidiata",-0.905443687377878,0,0.0487804878048781,2.7,1,0,0,0,0
"Larabicus quadrilineatus",-0.90984040114088,0,0.016260162601626,4.7,1,0,0,0,0
"Balistapus undulatus",-0.928616994202763,0,0.130081300813008,27.9,1,0.06,0.25,0.12,0.12
"Zebrasoma xanthurum",-0.930784830390085,0,0.0731707317073171,24.7,1,0.22,0.11,0.33,0
"Cephalopholis hemistiktos",-0.938590343723901,0,0.235772357723577,39.9,0.97,0,0.07,0.07,0.1
"Coris caudimacula",-0.966258640910332,0,0.0569105691056911,29.9,1,0,0.29,0.14,0.14
"Cheilinus abudjubbe",-0.967106878968682,0,0.0813008130081301,42.5,1,0.2,0,0.2,0
"Caesio lunaris",-0.996461477306767,0,0.268292682926829,78.1,0.97,0.42,0,0.42,0
"Synodus variegatus",-1.06308266192352,0,0.032520325203252,39.9,1,0,0.25,0.25,0
"Gymnothorax elegans",-1.08194987096073,0,0.0894308943089431,67.8,0.73,0.18,0,0,0.45
"Pomacanthus maculosus",-1.0960559898723,0,0.024390243902439,18.7,1,0,0,0,0
"Caesio suevica",-1.21956704892689,0,0.75609756097561,42.5,0.85,0.78,0,0.78,0
"Paracaesio sordida",-1.22018670873768,0,0.130081300813008,5,0.81,0.19,0,0,0
"Rhinecanthus assasi",-1.23194551506113,0,0.024390243902439,0.199999999999999,1,0,0,0,0
"Parapercis somaliensis",-1.24234597009637,0,0.16260162601626,56.7,0.7,0.2,0,0,0.5
"Pseudochromis pesi",-1.25749448782258,0,0.024390243902439,40.6,1,0,0,0,0
"Aetobatus ocellatus",-1.27078801786639,0,0.016260162601626,0.100000000000001,1,0,0,0,0.5
"Pseudocheilinus evanidus",-1.27817663312916,0,0.105691056910569,20.5,1,0,0,0,0.23
"Anampses twistii",-1.28278441769464,0,0.016260162601626,12.9,1,0,0,0,0.5
"Pervagor randalli",-1.28278441769464,0,0.016260162601626,12.9,1,0,0,0,0.5
"Thalassoma rueppellii",-1.39107822833348,0,0.016260162601626,0.199999999999999,1,0,0,0,0
"Centropyge multispinis",-1.44567253368293,0,0.032520325203252,2.9,1,0,0,0,0
"Acanthurus nigrofuscus",-1.52991513303135,0,0.040650406504065,13.3,1,0.4,0,0.4,0
"Cephalopholis sexmaculata",-1.5692004137541,0,0.024390243902439,18,1,0,0,0,0.33
"Cephalopholis oligosticta",-1.88125238308159,0,0.016260162601626,19.7,1,0.5,0,0,0
